group,substrates
SGK1,1816
SGK1,1818
SGK1,4497
SGK1,31569
SGK1,31570
SGK1,32167
SGK1,32169
mTORC1,4944
mTORC1,6246
mTORC1,8439
mTORC1,8448
mTORC1,11843a
mTORC1,13269
mTORC1,13271
mTORC1,13766
mTORC1,19781
mTORC1,34999
mTORC1,21925
mTORC1,25965
mTORC1,25972
mTORC1,33202
mTORC1,33654
mTORC1,33657
mTORC1,33654
mTORC2,11843
mTORC2,3081
mTORC2,8448
mTORC2,11843
mTORC2,18051
mTORC2,25965
Akt,1800
Akt,4288
Akt,4508
Akt,7476
Akt,7477
Akt,7591
Akt,8254
Akt,10125
Akt,10126
Akt,10128
Akt,11430
Akt,11441
Akt,12914
Akt,17539
Akt,23370
Akt,24474
Akt,25879
Akt,26145
Akt,32018
Akt,32613
Akt,32814
Akt,33125
erk,1212
erk,2165
erk,2170
erk,6242
erk,11092
erk,11593
erk,12995
erk,13015
erk,12994
erk,12995
Gsk,5572
Gsk,5575
Gsk,6241
p70S6K,23681
p70S6K,1143
p70S6K,1144
p70S6K,8828
p70S6K,32553
p70S6K,11851
PKA,3943
PKA,9506
PKA,10659
PKA,10665
PKA,10671
PKA,10670
InsR,37636
InsR,37639
InsR,37640
InsR,37643
p70S6K,wtf2448
erk,13015a
