T-0,T-15,T-30,T-60,T-120,T-300,T-600,T-1200,T-3600
1,1.0448,1.0178,1.003,0.917085,1.1426065,1.1259185,1.115014,0.9906875
1,1.0999555,1.0476305,0.8749555,0.96744,1.009082,1.140043,1.162696,1.026273
1,0.91677,1.6365,1.251,4.3819,1.009489,1.059333,1.0129778,1.08424105
1,0.8599,1.1036,1.0503,1.3235,1.013284,1.021137,0.9942334,0.9508415
1,0.8599,1.1036,1.0503,1.3235,1.013284,1.021137,0.9942334,0.9508415
1,0.16722,0.68545,0.9663,0.80519,0.7978299,0.8631107,0.6609823,0.8669268
1,0.91511,0.90272,0.90921,0.87678,1.05116435,0.7904513,1.65582245,1.44586
1,1.0707,1.094859,0.97213,0.92965,1.135693,1.505367,1.389082,1.352741
1,0.831236,0.9331122,0.9164223,1.610228,1.273496,0.9129919,0.9469697,1.011716
1,1.134443,1.043711,0.92866,1.1275,1.053164,1.162507,1.33998,1.246261
1,1.0232,0.91472,0.73542,1.2164,0.7761564,0.3758268,0.3177427,0.3241386
1,1.54535,1.151968,0.96816525,1.02200215,1.644737,0.5308983,0.6432937,0.5476151
1,1.0848201,1.0441,0.96876,1.1905,0.9376466,0.7165891,0.6145904,0.5315756
1,0.8566,0.92573,0.728675,1.1861,1.229271,1.06877715,1.188015,1.085046
1,1.215126,1.140628,1.288892,1.24375,1.749047,1.586244,1.604364,1.925966
1,1.056,1.4907,1.021185,1.51435,0.92762205,0.66582885,0.8728288,0.9530163
1,1.005318,1.15946085,0.981135,0.65572,1.365561,1.00479505,0.912092,0.9850276
1,1.005318,1.15946085,0.981135,0.65572,1.365561,1.00479505,0.926688,0.9850276
1,1.1302695,1.0255,1.0625,1.196387,1.3116705,1.195386,1.308147,1.151237
1,0.685495,0.8287912,1.0181,0.6739907,1.11773,0.8442381,0.7427213,0.7741736
1,0.90343,0.86915,0.8563,0.91227,0.8738204,0.861104,0.9478673,1.272038
1,0.53876,0.34995,0.084203,0.47164,2.867959,3.567479,3.96275,3.630818
1,1.5124,1.8526,1.3593,1.0891,1.100279,0.8844079,1.864141,1.235407
1,1.2836,1.0591,1.1253,1.0657,0.9099181,0.8486083,0.9065362,0.8585902
1,1.4326,1.4378,0.89220565,1.5791,1.23816,1.19361645,1.097972,0.82021
1,1.2349,1.20097,1.068058,1.2183,1.7724925,2.929974,3.444594,3.301856
1,1.0521,1.0392,1.2137,0.62981,1.1936645,1.074223,0.9989012,1.122662
1,1.0523,1.1879,0.94043,1.10685,1.286455,1.865428,2.753986,2.463904
1,0.89605,0.9725734,0.93785,1.2301,1.042992,1.917212,2.555323,2.484102
