T-0,T-15,T-30,T-60,T-120,T-300,T-600,T-1200,T-3600
36.76589593,56.63096423,44.65871325,38.09614604,0,100,92.60026206,87.76502462,32.63657789
43.45738608,78.19545737,60.01066934,0,32.14163456,46.61370228,92.12728135,100,52.58818275
2.401930086,0,20.7706493,9.645525565,100,2.675772626,4.114217937,2.776455717,4.83303801
30.22001726,0,52.56686799,41.06988783,100,33.08541846,34.77933563,28.97614323,19.61637187
30.22001726,0,52.56686799,41.06988783,100,33.08541846,34.77933563,28.97614323,19.61637187
100,0,62.22892,95.953313,76.60726723,75.72346838,83.56236941,59.29084512,84.02060568
24.21489323,14.40522948,12.97347387,13.72344109,9.975916114,30.12731011,0,100,75.73729492
12.21954537,24.49988449,28.69621706,7.378625262,0,35.78893797,100,79.80170813,73.48940538
21.66440734,0,13.07795202,10.93545248,100,56.77336866,10.49508852,14.85685347,23.16840224
17.34416026,50.02990372,27.971166,0,48.34192356,30.26937664,56.85281533,100,77.2150637
75.91963032,78.5012596,66.42991717,46.47792879,100,51.01095824,6.463431611,0,0.711717359
42.11576595,91.07707427,55.75939317,39.25765463,44.09111032,100,0,10.09081477,1.500827723
71.08924787,83.96175646,77.78197317,66.34818805,100,61.62634135,28.07810729,12.59853179,0
54.20039313,25.55453899,39.36407802,0,91.37607971,100,67.93944618,91.75862372,71.1893423
0,23.23260249,15.1871667,31.19898571,26.3238607,80.89357493,63.31161187,65.26848718,100
39.38277201,45.98248965,97.21279782,41.87946877,100,30.85287856,0,24.39537895,33.84564427
48.50100234,49.2501842,70.96530772,45.84336492,0,100,49.17651277,36.11682053,46.39174125
48.50100234,49.2501842,70.96530772,45.84336492,0,100,49.17651277,38.17305566,46.39174125
0,41.79718645,8.181717551,20.05322929,63.01109665,100,62.68992413,98.86947915,48.52464381
73.46865603,2.592580824,34.8854609,77.54762763,0,100,38.36653639,15.4889594,22.57697256
34.56503856,11.33646672,3.090888973,0,13.4628059,4.214288807,1.155535457,22.02524186,100
23.61185774,11.71977547,6.851715346,0,9.989230503,71.7731666,89.80878664,100,91.44184665
11.79832548,64.0982835,98.82202612,48.47157864,20.89263903,22.03366407,0,100,35.82599179
34.80335372,100,48.38981985,63.60850104,49.90709018,14.09447583,0,13.31701272,2.29473344
23.69118054,80.69548946,81.38070076,9.486967808,100,55.07385787,49.20429179,36.60108843,0
0,9.608957561,8.220997024,2.784020578,8.929908197,31.60003256,78.9486516,100,94.16107542
63.40064053,72.32355409,70.11423385,100,0,96.56861738,76.11245269,63.2124544,84.40836459
3.284706951,6.16854401,13.64556705,0,9.176446716,19.07991813,51.00465605,100,84.004795
6.26479187,0,4.611863147,2.519175567,20.13231096,8.855806127,61.54273588,100,95.70769849
53.77086888,0,100,66.3617298,88.78724327,85.14027848,39.62744833,50.77850358,83.29424529
14.20645794,0,26.57377989,14.61176186,11.44220186,18.15421537,38.34547163,83.98535909,100
52.58838649,4.662644585,100,39.66311928,56.52986554,30.3352963,28.12368862,0,5.736572499
81.73250421,0,71.50067308,96.1363738,100,26.76110182,22.21988371,23.51579139,47.0227371
26.34067339,35.26955254,61.92531065,51.42587947,0,33.21372901,65.76676459,57.46363409,100
5.348950356,8.400168603,7.811569246,0,2.609159112,9.617811023,100,45.51502153,87.16042903
99.05002206,100,36.96603248,0,7.601420476,16.52199082,18.88358129,74.91608428,79.49208751
58.138542,88.23780553,100,72.20621198,0,20.34955705,46.89475931,54.09659515,95.36727506
28.62846249,39.17012448,12.77896153,7.424021532,0,34.00257934,43.47078614,58.85735113,100
11.63532699,16.68584149,9.400593201,9.509816594,0,36.50729335,76.26707383,98.4235018,100
8.340400779,100,75.69166459,9.081611612,0,2.882921746,7.457304403,3.724713407,4.933216163
24.84915303,3.28188298,26.6815377,25.79077141,0,52.27039639,54.08782456,100,43.44435328
63.85487433,40.00359222,0,65.01891198,33.13611343,97.7532779,100,59.61029699,40.91305772
37.94443171,4.714891954,16.29824601,13.01685522,0,20.1427478,22.21433485,65.30036785,100
24.75101705,0.930255305,37.4120068,43.701591,0,48.84066063,100,47.77935011,39.31529335
100,0,2.396013655,0.706993901,1.174629111,16.3463623,34.32740127,34.19058096,19.95423145
2.341809514,40.90097728,100,0,7.32705111,4.931191971,7.493803194,8.845029947,6.364727797
0.251566093,59.17736507,66.69017815,100,28.96940724,0,60.32420051,16.24887958,30.4698201
57.58547603,100,0,77.42122858,40.57987135,13.40618801,27.04107422,21.78422903,97.98799968
44.92973882,39.32145522,30.40849569,50.95340821,100,72.73527291,63.75222709,38.87563464,0
32.27455894,45.1183482,6.871507406,9.374142787,100,46.83853433,0,6.56445869,32.15441641
58.11922341,46.67242998,0,20.76126107,66.37864946,100,63.49557965,24.78855424,22.39472197
44.18958011,58.5269166,26.81140364,0,100,58.74840507,0.845435331,39.7726675,95.05478772
58.11922341,46.67242998,0,20.76126107,66.37864946,100,63.49557965,24.78855424,22.39472197
11.49267766,4.37129057,0,13.9602503,8.053691211,81.56239505,100,65.96990574,63.52617252
7.737548958,6.668454774,0,0.570686245,3.72680308,73.33341951,100,62.67884303,70.77900073
70.71020535,100,31.81300027,53.75798453,50.28683487,41.41651773,25.82011882,17.8832106,0
34.91234682,44.38087829,12.56783543,16.88377535,17.85643837,29.76023957,0,5.200922012,100
96.10537069,96.0869461,100,71.12282163,77.97587127,52.25398675,29.950688,16.72201035,0
32.62368531,68.26277562,72.62549184,54.28364968,100,33.56965737,58.7452951,12.63169182,0
8.14938221,33.79504918,25.94088772,16.5567131,63.50855245,0,25.91470718,38.58608766,100
10.24270686,32.59266542,0,15.48608087,33.06670225,19.40548759,21.32235207,39.04237538,100
17.86648608,1.401114921,100,24.27583483,28.86032543,29.1352459,34.80980993,56.14303491,0
0,89.18918919,63.02472685,100,76.30822312,76.65957447,82.30649799,95.11558367,46.6319724
42.01300942,16.21833152,100,82.70597226,64.39125022,83.81198118,90.00701775,58.46910493,0
46.48063773,19.98673302,44.08500914,55.43693917,100,87.83654167,74.65184654,31.7458107,0
64.76591245,47.17869547,94.10400504,56.64551938,100,46.82736353,12.97913433,39.69565315,0
6.350295335,11.63263161,37.71455024,0,100,31.55447091,26.16803634,14.86154712,0.240627636
60.22747626,76.83351226,100,60.1606011,86.56591829,71.69168913,50.04413404,27.21519606,0
59.62544826,100,1.328422618,72.76843353,48.03979363,35.8978932,49.09998819,13.70561484,0
64.95563841,77.33310767,53.37463724,100,73.3709734,69.00226593,48.76380721,22.77324434,0
96.73331736,100,61.98981417,85.83659742,77.80600261,79.13410354,58.25774593,12.97456343,0
8.190094201,48.84389287,70.70463556,31.25217041,0,41.68216231,40.33964462,100,43.39434923
3.860508075,21.47671911,5.185849479,0,24.21507042,18.07518141,5.312246825,10.56163018,100
8.666026883,75.68129488,11.64113897,0,54.35772887,40.57497225,11.92487437,23.7086335,100
58.8519676,0,36.42306477,63.63243449,66.99284076,95.87275445,53.49948184,100,44.66219944
18.98573349,11.0284511,16.67621244,17.99284951,10.67813049,0,26.77526976,66.94919684,100
0,13.91155537,40.98242214,20.75258398,35.4333832,78.86919738,55.56103801,100,84.44512444
74.22106023,85.8149305,63.87622117,100,54.22159244,29.30267136,90.69047643,0,44.85992888
74.22106023,85.8149305,63.87622117,100,54.22159244,29.30267136,90.69047643,0,44.85992888
71.37022442,88.20322872,74.85037709,89.38080304,100,46.77245279,30.32022556,15.03463803,0
20.03457763,12.61765657,12.0763688,20.32440101,1.608630531,0,0.858265034,5.845311208,100
57.71696239,97.53582297,100,0,52.99677529,91.70132382,25.31964296,42.83417321,33.4465548
34.26065319,26.46016794,53.3161718,0,24.24143324,93.41598033,50.87165752,74.12925598,100
0.968860205,4.432135604,0.026005414,0,4.075662285,0.41370511,35.19426116,44.03225617,100
0,6.828480973,14.36068079,33.80793773,33.52564747,100,74.61581767,82.16288121,84.79188652
0,96.82401944,99.20166609,68.96910795,100,69.5413051,33.29607775,14.77004512,12.83252343
17.36029695,0,21.04707425,17.33522686,27.05283447,21.07951789,13.58120274,100,13.65123677
36.52512675,3.796351526,71.81690526,1.867109057,0,20.30799533,1.797954568,100,28.55142161
43.20682236,13.92324841,74.78360453,35.22089849,0,46.47791015,26.70050423,100,36.07247094
43.20682236,13.92324841,74.78360453,35.22089849,0,28.69679062,26.70050423,100,36.07247094
33.38794942,2.486062592,4.875516534,0,7.523881658,39.67974877,72.77065879,100,90.02084171
5.96084353,21.02395217,100,2.636946677,26.18926145,25.28562584,0,36.64465255,18.35925463
67.50054041,40.99803917,100,59.81328016,70.50637429,16.31387557,92.47262453,55.206488,0
48.3715106,4.413190211,45.37824742,47.47431455,100,22.01364081,18.06054216,11.07422797,0
73.76716432,100,36.70664449,44.1631097,65.13087866,10.03963489,0,21.67596798,5.403105712
1.071183847,6.420646278,0,9.571566816,10.44969221,100,22.31668527,82.96401219,16.90475326
0,37.81759305,19.28067906,37.09528274,29.09980827,100,77.40212874,75.6424092,28.89391407
52.77213236,82.69684626,32.0289301,0,21.6889497,10.64779388,55.57027996,63.05921989,100
33.85167422,42.88167393,85.6487614,56.46334448,100,42.78144592,0,61.7968731,37.57481511
26.58359386,53.31285221,24.36984277,0,23.16229866,100,23.57007943,16.13335147,26.35472957
