group,phosphosites
mTORC1,6505
mTORC1,8439
mTORC1,8448
mTORC1,11430
mTORC1,11441
mTORC1,11843a
mTORC1,25965
mTORC1,25972
mTORC1,33125
mTORC1,32018
mTORC1,11851
mTORC2,11843
mTORC2,18051
mTORC2,25965
mTORC2,25972
mTORC2,32613
AS160,10125
AS160,10126
AS160,10128
AS160,32814
Akt,3081
Akt,31272
erk,31143
erk,33117
erk,37331
erk,37449
Gsk,4288
Gsk,24474
p70S6K,19781
p70S6K,34999
PKA,32877
InsR,37334
InsR,37335
InsR,37336
Irs1,23681
Irs1,37636
Irs1,37639
Irs1,37640
Irs1,37643
Ndrg1,4497
Ndrg1,31569
Ndrg2,32167
Ndrg2,32169
HSL,10671
HSL,10670
Gys,5575
Gys,5572
HSF1,6246
HSF1,6242
HSF1,6241
Eif4ebp1,33654
Eif4ebp1,13766
Eif4ebp1,33657
SOS1,12994
SOS1,12995
SOS1,13015
SOS1,13015a
mTORC2,wtf2448
